claim_id,country_code,country_name,year,year_label,end_year,title,summary,category,era_id,canonical_url,history_updated
TL:AFG:event:1878:second-anglo-afghan-war-and-the-treaty-of,AFG,Afghanistan,1878,1878–1880,1880,Second Anglo-Afghan War and the Treaty of Gandamak,Britain invades again over fears of Russian influence; the 1879 Treaty of Gandamak gives Britain control of Afghan foreign affairs in return for subsidy and protection.,war,durrani-empire-and-the-great-game,https://terralore.co/country/AFG/chronicle#ev-1878-second-anglo-afghan-war-and-the-treaty-of,2026-08-22
TL:AFG:event:1893:the-durand-line-drawn,AFG,Afghanistan,1893,1893,,The Durand Line drawn,"Amir Abdur Rahman Khan agrees the Durand Line with British India, fixing a frontier that divides Pashtun communities and remains a source of dispute with Pakistan to this day.",politics,durrani-empire-and-the-great-game,https://terralore.co/country/AFG/chronicle#ev-1893-the-durand-line-drawn,2026-08-22
TL:AFG:event:1919:independence-and-the-treaty-of-rawalpindi,AFG,Afghanistan,1919,1919,,Independence and the Treaty of Rawalpindi,"Amir Amanullah Khan repudiates British control of foreign affairs and, after the Third Anglo-Afghan War, secures the Treaty of Rawalpindi (8 August 1919) recognising Afghan control of its own foreign relations.",independence,independence-monarchy-and-the-republic,https://terralore.co/country/AFG/chronicle#ev-1919-independence-and-the-treaty-of-rawalpindi,2026-08-22
TL:AFG:event:1929:amanullah-s-reforms-collapse,AFG,Afghanistan,1929,1929,,Amanullah's reforms collapse,"Sweeping modernising reforms provoke tribal and religious revolt; Amanullah Khan abdicates and flees into exile in January 1929, plunging the country briefly into civil strife.",politics,independence-monarchy-and-the-republic,https://terralore.co/country/AFG/chronicle#ev-1929-amanullah-s-reforms-collapse,2026-08-22
TL:AFG:event:1964:the-long-reign-of-zahir-shah,AFG,Afghanistan,1964,1933–1973,1973,The long reign of Zahir Shah,"Mohammad Zahir Shah rules for four decades of cautious modernisation and neutrality, introducing in 1964 a constitution that opens a brief era of parliamentary politics.",politics,independence-monarchy-and-the-republic,https://terralore.co/country/AFG/chronicle#ev-1964-the-long-reign-of-zahir-shah,2026-08-22
TL:AFG:event:1973:daoud-khan-founds-the-republic,AFG,Afghanistan,1973,1973,,Daoud Khan founds the republic,"Mohammad Daoud Khan overthrows his cousin Zahir Shah in a bloodless coup, abolishes the monarchy and proclaims Afghanistan a republic with himself as president.",politics,independence-monarchy-and-the-republic,https://terralore.co/country/AFG/chronicle#ev-1973-daoud-khan-founds-the-republic,2026-08-22
TL:AFG:event:1978:the-saur-revolution,AFG,Afghanistan,1978,April 1978,,The Saur Revolution,"The communist PDPA overthrows and kills President Daoud Khan, seizing power in the Saur Revolution and imposing radical reforms that ignite armed rebellion across the country.",politics,revolution-soviet-war-and-civil-war,https://terralore.co/country/AFG/chronicle#ev-1978-the-saur-revolution,2026-08-22
TL:AFG:event:1979:the-soviet-invasion,AFG,Afghanistan,1979,24 Dec 1979,,The Soviet invasion,"Soviet forces invade on 24 December 1979, kill the Afghan leader Hafizullah Amin and install Babrak Karmal, beginning a decade-long war against the US-backed mujahideen.",war,revolution-soviet-war-and-civil-war,https://terralore.co/country/AFG/chronicle#ev-1979-the-soviet-invasion,2026-08-22
TL:AFG:event:1989:soviet-withdrawal,AFG,Afghanistan,1989,15 Feb 1989,,Soviet withdrawal,Under the 1988 Geneva Accords the Soviet Union pulls out; the last troops leave on 15 February 1989 after a war that killed huge numbers of Afghans and displaced millions.,war,revolution-soviet-war-and-civil-war,https://terralore.co/country/AFG/chronicle#ev-1989-soviet-withdrawal,2026-08-22
TL:AFG:event:1992:collapse-of-the-communist-government-and-civil,AFG,Afghanistan,1992,1992–1996,1996,Collapse of the communist government and civil war,"Najibullah's government falls in 1992 and rival mujahideen factions turn on one another, devastating Kabul in a civil war that opens the way for the Taliban.",war,revolution-soviet-war-and-civil-war,https://terralore.co/country/AFG/chronicle#ev-1992-collapse-of-the-communist-government-and-civil,2026-08-22
TL:AFG:event:1996:the-taliban-capture-kabul,AFG,Afghanistan,1996,1996,,The Taliban capture Kabul,"The Taliban, led by Mullah Omar, seize Kabul and proclaim the Islamic Emirate of Afghanistan, imposing a severe religious order and isolating the country internationally.",politics,taliban-intervention-and-return,https://terralore.co/country/AFG/chronicle#ev-1996-the-taliban-capture-kabul,2026-08-22
TL:AFG:event:2001:destruction-of-the-bamiyan-buddhas,AFG,Afghanistan,2001,March 2001,,Destruction of the Bamiyan Buddhas,"The Taliban dynamite the colossal sixth-century Buddhas of Bamiyan as idolatrous, destroying a unique monument of world heritage months before their own fall.",disaster,taliban-intervention-and-return,https://terralore.co/country/AFG/chronicle#ev-2001-destruction-of-the-bamiyan-buddhas,2026-08-22
TL:AFG:event:2001:us-led-intervention-topples-the-taliban,AFG,Afghanistan,2001,Oct–Dec 2001,,US-led intervention topples the Taliban,After the 11 September attacks a US-led coalition and the Northern Alliance overthrow the Taliban; the Bonn Agreement of December 2001 installs Hamid Karzai's interim government.,war,taliban-intervention-and-return,https://terralore.co/country/AFG/chronicle#ev-2001-us-led-intervention-topples-the-taliban,2026-08-22
TL:AFG:event:2021:taliban-return-to-power,AFG,Afghanistan,2021,15 Aug 2021,,Taliban return to power,"Following the 2020 Doha agreement and the withdrawal of foreign forces, the Afghan government collapses and the Taliban retake Kabul on 15 August 2021, re-establishing the Islamic Emirate.",politics,taliban-intervention-and-return,https://terralore.co/country/AFG/chronicle#ev-2021-taliban-return-to-power,2026-08-22
TL:AGO:event:1483:portuguese-reach-the-kingdom-of-kongo,AGO,Angola,1483,1483,,Portuguese reach the Kingdom of Kongo,"The navigator Diogo Cão reached the mouth of the Congo River and made contact with the Kingdom of Kongo, opening relations between this powerful Central African monarchy and Portugal.",migration,kongo-ndongo-and-the-kingdoms,https://terralore.co/country/AGO/chronicle#ev-1483-portuguese-reach-the-kingdom-of-kongo,2026-06-13
TL:AGO:event:1491:kongo-adopts-christianity,AGO,Angola,1491,c. 1491,,Kongo adopts Christianity,"The Kongo ruler was baptised and, under his son Afonso I, the kingdom embraced Catholicism, literacy and sustained diplomatic ties with Portugal and the papacy.",religion,kongo-ndongo-and-the-kingdoms,https://terralore.co/country/AGO/chronicle#ev-1491-kongo-adopts-christianity,2026-06-13
TL:AGO:event:1500:rise-of-ndongo-under-the-ngola,AGO,Angola,1500,c. 15th–16th centuries,,Rise of Ndongo under the ngola,"The Kimbundu-speaking Kingdom of Ndongo grew in strength under its ruler the ngola, asserting independence from Kongo; the title would give the future colony its name.",founding,kongo-ndongo-and-the-kingdoms,https://terralore.co/country/AGO/chronicle#ev-1500-rise-of-ndongo-under-the-ngola,2026-06-13
TL:AGO:event:1550:ovimbundu-and-lunda-states-take-shape,AGO,Angola,1550,c. 16th–17th centuries,,Ovimbundu and Lunda states take shape,"In the central highlands the Ovimbundu kingdoms emerged, while in the east the Lunda states built a wide commercial and political network across the interior savanna.",founding,kongo-ndongo-and-the-kingdoms,https://terralore.co/country/AGO/chronicle#ev-1550-ovimbundu-and-lunda-states-take-shape,2026-06-13
TL:AGO:event:1576:portuguese-found-luanda,AGO,Angola,1576,1576,,Portuguese found Luanda,"Paulo Dias de Novais established São Paulo da Assunção de Loanda on the Angolan coast, creating the base from which Portuguese power and the slave trade would expand.",colonization,luanda-njinga-and-the-slave-trade,https://terralore.co/country/AGO/chronicle#ev-1576-portuguese-found-luanda,2026-06-13
TL:AGO:event:1617:founding-of-benguela,AGO,Angola,1617,1617,,Founding of Benguela,"The Portuguese established the port of Benguela to the south, which would become a second major outlet for the export of enslaved Africans to the Americas.",colonization,luanda-njinga-and-the-slave-trade,https://terralore.co/country/AGO/chronicle#ev-1617-founding-of-benguela,2026-06-13
TL:AGO:event:1624:njinga-becomes-queen-of-ndongo,AGO,Angola,1624,1624,,Njinga becomes queen of Ndongo,"After leading a diplomatic mission to the Portuguese in 1621, Njinga Mbande took the throne of Ndongo, beginning a decades-long struggle against Portuguese expansion.",politics,luanda-njinga-and-the-slave-trade,https://terralore.co/country/AGO/chronicle#ev-1624-njinga-becomes-queen-of-ndongo,2026-06-13
TL:AGO:event:1631:njinga-rules-from-matamba,AGO,Angola,1631,c. 1631,1656,Njinga rules from Matamba,"Driven from Ndongo by the Portuguese, Njinga rebuilt her power in the eastern kingdom of Matamba, from which she resisted, raided and negotiated with the colonisers until peace in 1656.",war,luanda-njinga-and-the-slave-trade,https://terralore.co/country/AGO/chronicle#ev-1631-njinga-rules-from-matamba,2026-06-13
TL:AGO:event:1641:atlantic-slave-trade-at-its-height,AGO,Angola,1641,1641,,Atlantic slave trade at its height,"Luanda became the leading slave-trading port of the entire Atlantic, funnelling vast numbers of captives seized in interior wars to the Americas, overwhelmingly to Brazil.",migration,luanda-njinga-and-the-slave-trade,https://terralore.co/country/AGO/chronicle#ev-1641-atlantic-slave-trade-at-its-height,2026-06-13
TL:AGO:event:1836:portugal-abolishes-the-slave-trade,AGO,Angola,1836,1836,,Portugal abolishes the slave trade,"Portugal formally outlawed the transatlantic slave trade, ending Luanda's centuries as a slaving port, though clandestine traffic and later forced labour persisted in Angola.",politics,conquest-of-the-interior,https://terralore.co/country/AGO/chronicle#ev-1836-portugal-abolishes-the-slave-trade,2026-06-13
TL:AGO:event:1885:berlin-conference-and-the-scramble,AGO,Angola,1885,1884–1885,,Berlin Conference and the Scramble,"The Berlin Conference required Portugal to demonstrate effective occupation of Angola, spurring the military campaigns that would subdue the independent interior kingdoms.",colonization,conquest-of-the-interior,https://terralore.co/country/AGO/chronicle#ev-1885-berlin-conference-and-the-scramble,2026-06-13
TL:AGO:event:1890:conquest-of-the-ovimbundu-kingdoms,AGO,Angola,1890,c. 1890–1904,1904,Conquest of the Ovimbundu kingdoms,"Portuguese forces conquered the Ovimbundu kingdoms of the central highlands, bringing one of Angola's largest peoples under colonial control.",colonization,conquest-of-the-interior,https://terralore.co/country/AGO/chronicle#ev-1890-conquest-of-the-ovimbundu-kingdoms,2026-06-13
TL:AGO:event:1904:battle-of-the-cunene,AGO,Angola,1904,1904,,Battle of the Cunene,Heavy fighting against the Kwanhama (Ovambo) in the south marked the violent and protracted character of the Portuguese conquest of Angola's interior frontier.,war,conquest-of-the-interior,https://terralore.co/country/AGO/chronicle#ev-1904-battle-of-the-cunene,2026-06-13
TL:AGO:event:1920:effective-occupation-completed,AGO,Angola,1920,by the 1920s,,Effective occupation completed,"Only in the early twentieth century, with pacification campaigns continuing into the 1920s, did Portugal establish effective control over the whole of Angola.",colonization,conquest-of-the-interior,https://terralore.co/country/AGO/chronicle#ev-1920-effective-occupation-completed,2026-06-13
TL:AGO:event:1961:revolt-breaks-out,AGO,Angola,1961,January–March 1961,,Revolt breaks out,"The Baixa de Cassanje cotton workers' revolt, the 4 February attack on a Luanda prison, and the UPA's 15 March uprising in the north marked the start of Angola's war of independence against Portugal.",war,anti-colonial-war-and-independence,https://terralore.co/country/AGO/chronicle#ev-1961-revolt-breaks-out,2026-06-13
TL:AGO:event:1966:founding-of-unita,AGO,Angola,1966,1966,,Founding of UNITA,"Jonas Savimbi founded the National Union for the Total Independence of Angola, drawing support from the Ovimbundu and creating the third of the rival liberation movements alongside the MPLA and FNLA.",politics,anti-colonial-war-and-independence,https://terralore.co/country/AGO/chronicle#ev-1966-founding-of-unita,2026-06-13
TL:AGO:event:1974:carnation-revolution-in-portugal,AGO,Angola,1974,25 April 1974,,Carnation Revolution in Portugal,"A military coup overthrew Portugal's dictatorship, and the new government moved to decolonise, opening the path to Angolan independence.",politics,anti-colonial-war-and-independence,https://terralore.co/country/AGO/chronicle#ev-1974-carnation-revolution-in-portugal,2026-06-13
TL:AGO:event:1975:alvor-agreement,AGO,Angola,1975,January 1975,,Alvor Agreement,"Portugal, the MPLA, the FNLA and UNITA signed the Alvor Agreement, providing for a transitional government and independence, but trust between the movements quickly collapsed into open conflict.",politics,anti-colonial-war-and-independence,https://terralore.co/country/AGO/chronicle#ev-1975-alvor-agreement,2026-06-13
TL:AGO:event:1975:independence-proclaimed,AGO,Angola,1975,11 November 1975,,Independence proclaimed,"As the Portuguese departed, the MPLA proclaimed the People's Republic of Angola in Luanda under Agostinho Neto, marking the country's independence amid a contest with the rival movements.",independence,anti-colonial-war-and-independence,https://terralore.co/country/AGO/chronicle#ev-1975-independence-proclaimed,2026-06-13
TL:AGO:event:1975:cold-war-intervention,AGO,Angola,1975,October–November 1975,,Cold War intervention,"As civil war erupted, South Africa invaded the south and Cuba sent troops to support the MPLA, turning Angola into a major proxy battleground between the superpower blocs.",war,civil-war,https://terralore.co/country/AGO/chronicle#ev-1975-cold-war-intervention,2026-06-13
TL:AGO:event:1987:battle-of-cuito-cuanavale,AGO,Angola,1987,1987–1988,1988,Battle of Cuito Cuanavale,"Cuban, Angolan and South African forces fought a major conventional battle around Cuito Cuanavale, a turning point that helped lead to negotiated foreign troop withdrawals.",war,civil-war,https://terralore.co/country/AGO/chronicle#ev-1987-battle-of-cuito-cuanavale,2026-06-13
TL:AGO:event:1991:bicesse-accords,AGO,Angola,1991,1991,,Bicesse Accords,"A ceasefire under the Bicesse Accords legalised UNITA as a party and set the stage for multiparty elections, briefly raising hopes of an end to the war.",politics,civil-war,https://terralore.co/country/AGO/chronicle#ev-1991-bicesse-accords,2026-06-13
TL:AGO:event:1992:disputed-elections-and-renewed-war,AGO,Angola,1992,1992,,Disputed elections and renewed war,"The MPLA's dos Santos led UNITA's Savimbi in Angola's first multiparty elections, but Savimbi rejected the result and returned to war, plunging the country back into conflict.",politics,civil-war,https://terralore.co/country/AGO/chronicle#ev-1992-disputed-elections-and-renewed-war,2026-06-13
TL:AGO:event:2002:death-of-savimbi-ends-the-war,AGO,Angola,2002,22 February 2002,,Death of Savimbi ends the war,"Jonas Savimbi was killed in an ambush by government forces; within weeks UNITA and the MPLA signed the Luena Memorandum, ending the twenty-seven-year civil war.",war,civil-war,https://terralore.co/country/AGO/chronicle#ev-2002-death-of-savimbi-ends-the-war,2026-06-13
TL:AGO:event:2002:reconstruction-and-the-oil-boom,AGO,Angola,2002,2002 onward,,Reconstruction and the oil boom,"Peace allowed Angola to rebuild on the back of surging oil revenues, driving rapid growth in the 2000s amid persistent inequality and corruption.",economy,oil-rich-modern-angola,https://terralore.co/country/AGO/chronicle#ev-2002-reconstruction-and-the-oil-boom,2026-06-13
TL:AGO:event:2007:angola-joins-opec,AGO,Angola,2007,2007,,Angola joins OPEC,"Angola became a member of OPEC, underscoring its standing as one of Africa's leading oil producers and the centrality of crude oil to its economy.",economy,oil-rich-modern-angola,https://terralore.co/country/AGO/chronicle#ev-2007-angola-joins-opec,2026-06-13
TL:AGO:event:2017:lourenco-succeeds-dos-santos,AGO,Angola,2017,2017,,Lourenço succeeds dos Santos,"After thirty-eight years in power, José Eduardo dos Santos stepped down and João Lourenço became president, with the MPLA retaining control of the government.",politics,oil-rich-modern-angola,https://terralore.co/country/AGO/chronicle#ev-2017-lourenco-succeeds-dos-santos,2026-06-13
TL:ALB:event:800bce:illyrian-and-greek-butrint,ALB,Albania,-800,from c. 8th c. BCE,,Illyrian and Greek Butrint,"Illyrian tribes inhabited the eastern Adriatic coast, where Greek colonists from about the eighth century BCE helped develop the settlement of Buthrotum (Butrint) into a flourishing city.",founding,illyrians-rome-byzantium,https://terralore.co/country/ALB/chronicle#ev-800bce-illyrian-and-greek-butrint,2026-06-13
TL:ALB:event:167bce:roman-conquest-of-illyria,ALB,Albania,-167,2nd c. BCE,,Roman conquest of Illyria,"Rome conquered the Illyrians in the second century BCE and absorbed their lands; Butrint flourished under Roman rule with a forum, aqueduct and public buildings.",war,illyrians-rome-byzantium,https://terralore.co/country/ALB/chronicle#ev-167bce-roman-conquest-of-illyria,2026-06-13
TL:ALB:event:395:byzantine-rule-begins,ALB,Albania,395,from late 4th c. CE,,Byzantine rule begins,"After the division of the Roman Empire the Albanian lands passed to the Byzantine Empire, remaining a contested Christian borderland for much of the following eight centuries.",politics,illyrians-rome-byzantium,https://terralore.co/country/ALB/chronicle#ev-395-byzantine-rule-begins,2026-06-13
TL:ALB:event:550:early-christian-butrint,ALB,Albania,550,6th c. CE,,Early Christian Butrint,"Butrint became an episcopal seat with an early Christian basilica and a baptistery whose mosaic floor survives, marking the spread of Christianity in the region under Byzantium.",religion,illyrians-rome-byzantium,https://terralore.co/country/ALB/chronicle#ev-550-early-christian-butrint,2026-06-13
TL:ALB:event:1388:ottoman-invasion-of-albania,ALB,Albania,1388,1388,,Ottoman invasion of Albania,"The Ottoman Turks invaded Albania in 1388 and, over the following decades, brought most of the divided and contested country under their control, largely completing the conquest by about 1430.",war,medieval-albania-skanderbeg,https://terralore.co/country/ALB/chronicle#ev-1388-ottoman-invasion-of-albania,2026-06-13
TL:ALB:event:1443:skanderbeg-s-revolt-and-the-return-to-kruje,ALB,Albania,1443,1443,,Skanderbeg's revolt and the return to Kruje,"Gjergj Kastrioti (Skanderbeg) broke with the Ottomans after 1443, reconverted to Christianity and seized his ancestral fortress of Kruje, launching a national revolt against Ottoman rule.",war,medieval-albania-skanderbeg,https://terralore.co/country/ALB/chronicle#ev-1443-skanderbeg-s-revolt-and-the-return-to-kruje,2026-06-13
TL:ALB:event:1444:league-of-lezhe,ALB,Albania,1444,1444,,League of Lezhe,"Skanderbeg united Albanian princes in the League of Lezhe to coordinate resistance, giving the scattered lordships a measure of common purpose against the Ottoman Empire.",politics,medieval-albania-skanderbeg,https://terralore.co/country/ALB/chronicle#ev-1444-league-of-lezhe,2026-06-13
TL:ALB:event:1450:the-sieges-of-kruje,ALB,Albania,1450,1450 & 1466-67,1467,The sieges of Kruje,"From his stronghold at Kruje Skanderbeg withstood repeated Ottoman sieges, including those of 1450 and 1466-67, keeping much of Albania free for some twenty-five years.",war,medieval-albania-skanderbeg,https://terralore.co/country/ALB/chronicle#ev-1450-the-sieges-of-kruje,2026-06-13
TL:ALB:event:1468:death-of-skanderbeg,ALB,Albania,1468,1468,,Death of Skanderbeg,"Skanderbeg died at Lezhe in 1468; without his leadership Albanian resistance collapsed, and the Ottomans took Kruje in 1478 and Shkoder in 1479, completing the conquest.",politics,medieval-albania-skanderbeg,https://terralore.co/country/ALB/chronicle#ev-1468-death-of-skanderbeg,2026-06-13
TL:ALB:event:1479:albania-within-the-ottoman-empire,ALB,Albania,1479,from 1479,,Albania within the Ottoman Empire,"Following the fall of Kruje and Shkoder, Albania was incorporated into the Ottoman Empire, beginning nearly five centuries of rule during which most Albanians converted to Islam.",religion,ottoman-centuries-national-awakening,https://terralore.co/country/ALB/chronicle#ev-1479-albania-within-the-ottoman-empire,2026-06-13
TL:ALB:event:1812:ottoman-towns-of-berat-and-gjirokastra,ALB,Albania,1812,18th-19th c.,,Ottoman towns of Berat and Gjirokastra,"The towns of Berat and Gjirokastra developed the distinctive Ottoman-era urban architecture, including fortified citadels and tall stone houses, that later earned them UNESCO World Heritage status.",culture,ottoman-centuries-national-awakening,https://terralore.co/country/ALB/chronicle#ev-1812-ottoman-towns-of-berat-and-gjirokastra,2026-06-13
TL:ALB:event:1844:the-rilindja-national-awakening,ALB,Albania,1844,19th c.,,The Rilindja national awakening,"A cultural and political revival, the Rilindja, promoted the Albanian language, literature and a distinct national identity, led by writers and patriots such as the poet Naim Frasheri.",culture,ottoman-centuries-national-awakening,https://terralore.co/country/ALB/chronicle#ev-1844-the-rilindja-national-awakening,2026-06-13
TL:ALB:event:1878:league-of-prizren,ALB,Albania,1878,1 Jul 1878,,League of Prizren,"Founded at Prizren in response to the Congress of Berlin, the Albanian League sought to unify the Albanian lands into one autonomous unit and to resist their partition among neighbouring states.",politics,ottoman-centuries-national-awakening,https://terralore.co/country/ALB/chronicle#ev-1878-league-of-prizren,2026-06-13
TL:ALB:event:1912:declaration-of-independence-at-vlore,ALB,Albania,1912,28 Nov 1912,,Declaration of independence at Vlore,"An assembly at Vlore led by Ismail Qemali proclaimed Albania an independent state and raised the national flag, breaking from the Ottoman Empire during the First Balkan War.",independence,independence-borders-zog-italy,https://terralore.co/country/ALB/chronicle#ev-1912-declaration-of-independence-at-vlore,2026-06-13
TL:ALB:event:1913:conference-of-london-and-the-borders,ALB,Albania,1913,1912-13,1913,Conference of London and the borders,"The Great Powers recognised an autonomous Albania but, pressed by its neighbours, drew borders leaving about half the Albanian-populated lands, including Kosovo, outside the state, creating the Albanian national question.",politics,independence-borders-zog-italy,https://terralore.co/country/ALB/chronicle#ev-1913-conference-of-london-and-the-borders,2026-06-13
TL:ALB:event:1925:the-rise-of-zog,ALB,Albania,1925,1925-1928,1928,The rise of Zog,"Ahmed Zogu consolidated power, becoming president in 1925 and in 1928 proclaiming himself King Zog I, ruling an authoritarian monarchy increasingly dependent on Fascist Italy.",politics,independence-borders-zog-italy,https://terralore.co/country/ALB/chronicle#ev-1925-the-rise-of-zog,2026-06-13
TL:ALB:event:1939:italian-invasion-of-albania,ALB,Albania,1939,7 Apr 1939,,Italian invasion of Albania,"Fascist Italy invaded Albania on 7 April 1939; King Zog fled into exile and the Italian king Victor Emmanuel III was proclaimed king of Albania, ending its independence.",war,independence-borders-zog-italy,https://terralore.co/country/ALB/chronicle#ev-1939-italian-invasion-of-albania,2026-06-13
TL:ALB:event:1944:communist-victory-and-hoxha-in-power,ALB,Albania,1944,1944,,Communist victory and Hoxha in power,"As German forces withdrew, the communist-led partisans took Tirana and formed a provisional government under Enver Hoxha, who would rule Albania for over four decades.",politics,world-war-hoxha-dictatorship,https://terralore.co/country/ALB/chronicle#ev-1944-communist-victory-and-hoxha-in-power,2026-06-13
TL:ALB:event:1948:breaks-with-yugoslavia-and-the-ussr,ALB,Albania,1948,1948 & 1961,1961,Breaks with Yugoslavia and the USSR,"Hoxha broke with Tito's Yugoslavia in 1948 and allied with the Soviet Union, then ruptured with Moscow in 1961 over de-Stalinisation, turning instead to Maoist China.",politics,world-war-hoxha-dictatorship,https://terralore.co/country/ALB/chronicle#ev-1948-breaks-with-yugoslavia-and-the-ussr,2026-06-13
TL:ALB:event:1967:albania-declared-an-atheist-state,ALB,Albania,1967,1967,,Albania declared an atheist state,"The Hoxha regime launched a campaign against religion, closing mosques and churches and proclaiming Albania the world's first officially atheist state.",religion,world-war-hoxha-dictatorship,https://terralore.co/country/ALB/chronicle#ev-1967-albania-declared-an-atheist-state,2026-06-13
TL:ALB:event:1978:rupture-with-china-and-total-isolation,ALB,Albania,1978,late 1970s,,Rupture with China and total isolation,"Hoxha broke with post-Maoist China in the late 1970s, leaving Albania almost completely isolated, its borders sealed and its economy self-reliant by decree.",politics,world-war-hoxha-dictatorship,https://terralore.co/country/ALB/chronicle#ev-1978-rupture-with-china-and-total-isolation,2026-06-13
TL:ALB:event:1985:death-of-enver-hoxha,ALB,Albania,1985,1985,,Death of Enver Hoxha,"Hoxha died in 1985 after ruling for over forty years, leaving the most tightly controlled society in Europe to his successor Ramiz Alia.",politics,world-war-hoxha-dictatorship,https://terralore.co/country/ALB/chronicle#ev-1985-death-of-enver-hoxha,2026-06-13
TL:ALB:event:1991:end-of-one-party-rule,ALB,Albania,1991,Mar 1991,,End of one-party rule,"After the Tirana student protests of December 1990, Albania held its first multiparty elections in March 1991, and the Party of Labour's monopoly on power ended with the 1992 elections.",politics,transition-nato-eu-kosovo,https://terralore.co/country/ALB/chronicle#ev-1991-end-of-one-party-rule,2026-06-13
TL:ALB:event:1991:us-albania-relations-resumed,ALB,Albania,1991,15 Mar 1991,,US-Albania relations resumed,The United States and Albania resumed diplomatic relations on 15 March 1991 after a break of more than half a century dating to the Italian takeover of 1939.,politics,transition-nato-eu-kosovo,https://terralore.co/country/ALB/chronicle#ev-1991-us-albania-relations-resumed,2026-06-13
